,title,Tokens,listed_in,country,type,rating
25,Jaws 3,"['staff', 'marine', 'theme', 'park', 'try', 'capture', 'young', 'great', 'white', 'shark', 'discover', 'mother', 'invaded', 'enclosure', 'blood']",Horror,United States,Movie,PG
26,Jaws 3,"['staff', 'marine', 'theme', 'park', 'try', 'capture', 'young', 'great', 'white', 'shark', 'discover', 'mother', 'invaded', 'enclosure', 'blood']",Thrillers,United States,Movie,PG
27,Jaws: The Revenge,"['another', 'deadly', 'shark', 'attack', 'ellen', 'brody', 'enough', 'amity', 'island', 'move', 'caribbean', 'great', 'white', 'shark', 'follows']",Action,United States,Movie,PG-13
28,Jaws: The Revenge,"['another', 'deadly', 'shark', 'attack', 'ellen', 'brody', 'enough', 'amity', 'island', 'move', 'caribbean', 'great', 'white', 'shark', 'follows']",Horror,United States,Movie,PG-13
29,Jaws: The Revenge,"['another', 'deadly', 'shark', 'attack', 'ellen', 'brody', 'enough', 'amity', 'island', 'move', 'caribbean', 'great', 'white', 'shark', 'follows']",Thrillers,United States,Movie,PG-13
30,Safe House,"['young', 'cia', 'operative', 'matt', 'weston', 'dangerous', 'criminal', 'agency', 'safe', 'house', 'come', 'attack', 'securer', 'location']",Action,"South Africa, United States, Japan",Movie,R
31,Training Day,"['rookie', 'cop', 'day', 'prove', 'veteran', 'lapd', 'narcotic', 'officer', 'receives', 'crash', 'course', 'mentor', 'questionable', 'brand', 'justice']",Dramas,United States,Movie,R
32,Training Day,"['rookie', 'cop', 'day', 'prove', 'veteran', 'lapd', 'narcotic', 'officer', 'receives', 'crash', 'course', 'mentor', 'questionable', 'brand', 'justice']",Thrillers,United States,Movie,R
33,InuYasha the Movie 2: The Castle Beyond the Looking Glass,"['biggest', 'foe', 'seemingly', 'defeated', 'inuyasha', 'friend', 'return', 'everyday', 'life', 'peace', 'soon', 'shattered', 'emerging', 'new', 'enemy']",Action,Japan,Movie,TV-14
34,InuYasha the Movie 2: The Castle Beyond the Looking Glass,"['biggest', 'foe', 'seemingly', 'defeated', 'inuyasha', 'friend', 'return', 'everyday', 'life', 'peace', 'soon', 'shattered', 'emerging', 'new', 'enemy']",Anime,Japan,Movie,TV-14
36,InuYasha the Movie 3: Swords of an Honorable Ruler,"['great', 'dog', 'demon', 'beaqueathed', 'sword', 'fang', 'son', 'evil', 'power', 'third', 'sword', 'awakened']",Action,Japan,Movie,TV-14
37,InuYasha the Movie 3: Swords of an Honorable Ruler,"['great', 'dog', 'demon', 'beaqueathed', 'sword', 'fang', 'son', 'evil', 'power', 'third', 'sword', 'awakened']",Anime,Japan,Movie,TV-14
39,InuYasha the Movie 4: Fire on the Mystic Island,"['ai', 'young', 'escaped', 'horai', 'island', 'try', 'people', 'return', 'potential', 'savior', 'inuyasha', 'sesshomaru', 'kikyo']",Action,Japan,Movie,TV-PG
40,InuYasha the Movie 4: Fire on the Mystic Island,"['ai', 'young', 'escaped', 'horai', 'island', 'try', 'people', 'return', 'potential', 'savior', 'inuyasha', 'sesshomaru', 'kikyo']",Anime,Japan,Movie,TV-PG
42,InuYasha the Movie: Affections Touching Across Time,"['powerful', 'demon', 'sealed', 'away', 'year', 'demon', 'son', 'awakened', 'fate', 'world', 'jeopardy']",Action,Japan,Movie,TV-PG
43,InuYasha the Movie: Affections Touching Across Time,"['powerful', 'demon', 'sealed', 'away', 'year', 'demon', 'son', 'awakened', 'fate', 'world', 'jeopardy']",Anime,Japan,Movie,TV-PG
45,Naruto Shippuden the Movie: Blood Prison,"['mistakenly', 'accused', 'attack', 'fourth', 'raikage', 'ninja', 'naruto', 'imprisoned', 'impenetrable', 'hozuki', 'castle', 'power', 'sealed']",Action,Japan,Movie,TV-14
46,Naruto Shippuden the Movie: Blood Prison,"['mistakenly', 'accused', 'attack', 'fourth', 'raikage', 'ninja', 'naruto', 'imprisoned', 'impenetrable', 'hozuki', 'castle', 'power', 'sealed']",Anime,Japan,Movie,TV-14
48,Naruto Shippûden the Movie: Bonds,"['strange', 'ninja', 'ambush', 'village', 'konohagakure', 'adolescent', 'ninja', 'naruto', 'pal', 'sasuke', 'save', 'planet']",Action,Japan,Movie,TV-PG
49,Naruto Shippûden the Movie: Bonds,"['strange', 'ninja', 'ambush', 'village', 'konohagakure', 'adolescent', 'ninja', 'naruto', 'pal', 'sasuke', 'save', 'planet']",Anime,Japan,Movie,TV-PG
51,Naruto Shippûden the Movie: The Will of Fire,"['ninja', 'village', 'destroyed', 'leader', 'spared', 'try', 'true', 'culprit', 'protect', 'land']",Action,Japan,Movie,TV-PG
52,Naruto Shippûden the Movie: The Will of Fire,"['ninja', 'village', 'destroyed', 'leader', 'spared', 'try', 'true', 'culprit', 'protect', 'land']",Anime,Japan,Movie,TV-PG
54,Naruto Shippuden: The Movie,"['adventure', 'adolescent', 'ninja', 'naruto', 'uzumaki', 'continue', 'tasked', 'protecting', 'priestess', 'demon', 'die']",Action,Japan,Movie,TV-PG
55,Naruto Shippuden: The Movie,"['adventure', 'adolescent', 'ninja', 'naruto', 'uzumaki', 'continue', 'tasked', 'protecting', 'priestess', 'demon', 'die']",Anime,Japan,Movie,TV-PG
57,Naruto Shippuden: The Movie: The Lost Tower,"['naruto', 'sent', 'recover', 'missing', 'nin', 'rogue', 'manages', 'send', 'year', 'past', 'unites', 'father', 'battle', 'evil']",Action,Japan,Movie,TV-14
58,Naruto Shippuden: The Movie: The Lost Tower,"['naruto', 'sent', 'recover', 'missing', 'nin', 'rogue', 'manages', 'send', 'year', 'past', 'unites', 'father', 'battle', 'evil']",Anime,Japan,Movie,TV-14
60,Naruto the Movie 2: Legend of the Stone of Gelel,"['mission', 'return', 'missing', 'pet', 'naruto', 'fellow', 'ninja', 'ambushed', 'brutal', 'knight', 'led', 'enigmatic', 'temujin']",Action,Japan,Movie,TV-PG
61,Naruto the Movie 2: Legend of the Stone of Gelel,"['mission', 'return', 'missing', 'pet', 'naruto', 'fellow', 'ninja', 'ambushed', 'brutal', 'knight', 'led', 'enigmatic', 'temujin']",Anime,Japan,Movie,TV-PG
63,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,"['exuberant', 'ninja', 'naruto', 'team', 'pal', 'sakura', 'kakashi', 'escort', 'prince', 'michiru', 'son', 'hikaru', 'crescent', 'moon', 'kingdom']",Action,Japan,Movie,TV-PG
64,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,"['exuberant', 'ninja', 'naruto', 'team', 'pal', 'sakura', 'kakashi', 'escort', 'prince', 'michiru', 'son', 'hikaru', 'crescent', 'moon', 'kingdom']",Anime,Japan,Movie,TV-PG
66,Naruto the Movie: Ninja Clash in the Land of Snow,"['naruto', 'sasuke', 'sakura', 'learn', 'protecting', 'actress', 'hurt', 'making', 'next', 'film', 'turn', 'princess']",Action,Japan,Movie,TV-PG
67,Naruto the Movie: Ninja Clash in the Land of Snow,"['naruto', 'sasuke', 'sakura', 'learn', 'protecting', 'actress', 'hurt', 'making', 'next', 'film', 'turn', 'princess']",Anime,Japan,Movie,TV-PG
69,King of Boys,"['powerful', 'businesswoman', 'political', 'ambition', 'threatened', 'underworld', 'connection', 'ensuing', 'power', 'struggle', 'cost', 'everything']",Dramas,Nigeria,Movie,TV-MA
71,Kate,"['slipped', 'fatal', 'poison', 'final', 'job', 'ruthless', 'assassin', 'working', 'tokyo', 'le', 'hour', 'ordered', 'hit', 'exact', 'revenge']",Action,United States,Movie,R
72,Omo Ghetto: the Saga,"['twin', 'reunited', 'female', 'gangster', 'uptight', 'rich', 'sister', 'family', 'crime', 'cop', 'trouble', 'follows']",Action,Nigeria,Movie,TV-MA
73,Omo Ghetto: the Saga,"['twin', 'reunited', 'female', 'gangster', 'uptight', 'rich', 'sister', 'family', 'crime', 'cop', 'trouble', 'follows']",Comedies,Nigeria,Movie,TV-MA
74,Omo Ghetto: the Saga,"['twin', 'reunited', 'female', 'gangster', 'uptight', 'rich', 'sister', 'family', 'crime', 'cop', 'trouble', 'follows']",Dramas,Nigeria,Movie,TV-MA
75,Paradise Hills,"['uma', 'wake', 'lush', 'tropical', 'facility', 'designed', 'turn', 'willful', 'girl', 'perfect', 'lady', 'bad', 'enough', 'real', 'purpose', 'even', 'worse']",Fantasy,"Spain, United States",Movie,TV-MA
76,Paradise Hills,"['uma', 'wake', 'lush', 'tropical', 'facility', 'designed', 'turn', 'willful', 'girl', 'perfect', 'lady', 'bad', 'enough', 'real', 'purpose', 'even', 'worse']",Thrillers,"Spain, United States",Movie,TV-MA
77,Show Dogs,"['rough', 'tough', 'police', 'dog', 'go', 'undercover', 'fbi', 'agent', 'prim', 'proper', 'pet', 'dog', 'show', 'save', 'baby', 'panda', 'illegal', 'sale']",Family,"United Kingdom, United States",Movie,PG
78,Show Dogs,"['rough', 'tough', 'police', 'dog', 'go', 'undercover', 'fbi', 'agent', 'prim', 'proper', 'pet', 'dog', 'show', 'save', 'baby', 'panda', 'illegal', 'sale']",Comedies,"United Kingdom, United States",Movie,PG
79,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,"['using', 'interview', 'archival', 'footage', 'documentary', 'chart', 'story', 'legendary', 'southern', 'rocker', 'focus', 'front', 'man', 'ronnie', 'van', 'zant']",Documentaries,United States,Movie,TV-MA
80,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,"['using', 'interview', 'archival', 'footage', 'documentary', 'chart', 'story', 'legendary', 'southern', 'rocker', 'focus', 'front', 'man', 'ronnie', 'van', 'zant']",Musical,United States,Movie,TV-MA
81,Angamaly Diaries,"['growing', 'amidst', 'gang', 'war', 'hometown', 'vincent', 'form', 'entrepreneurial', 'squad', 'end', 'wrong', 'side', 'law']",Action,India,Movie,TV-14
82,Angamaly Diaries,"['growing', 'amidst', 'gang', 'war', 'hometown', 'vincent', 'form', 'entrepreneurial', 'squad', 'end', 'wrong', 'side', 'law']",Comedies,India,Movie,TV-14
83,Angamaly Diaries,"['growing', 'amidst', 'gang', 'war', 'hometown', 'vincent', 'form', 'entrepreneurial', 'squad', 'end', 'wrong', 'side', 'law']",Dramas,India,Movie,TV-14
84,A Champion Heart,"['grieving', 'teen', 'work', 'debt', 'ranch', 'care', 'wounded', 'horse', 'teach', 'healing', 'expected']",Family,United States,Movie,G
85,A Champion Heart,"['grieving', 'teen', 'work', 'debt', 'ranch', 'care', 'wounded', 'horse', 'teach', 'healing', 'expected']",Dramas,United States,Movie,G
86,Anjaam,"['wealthy', 'industrialist', 'dangerous', 'obsession', 'flight', 'attendant', 'destroys', 'world', 'matter', 'hand', 'exact', 'revenge']",Dramas,India,Movie,TV-14
88,Anjaam,"['wealthy', 'industrialist', 'dangerous', 'obsession', 'flight', 'attendant', 'destroys', 'world', 'matter', 'hand', 'exact', 'revenge']",Thrillers,India,Movie,TV-14
89,Bright Star,"['drama', 'detail', 'passionate', 'romance', 'romantic', 'poet', 'john', 'keats', 'died', 'tragically', 'age', 'great', 'love', 'muse']",Dramas,"United Kingdom, Australia, France",Movie,PG
90,Bright Star,"['drama', 'detail', 'passionate', 'romance', 'romantic', 'poet', 'john', 'keats', 'died', 'tragically', 'age', 'great', 'love', 'muse']",Romantics,"United Kingdom, Australia, France",Movie,PG
91,Dhanak,"['blind', 'little', 'brother', 'trek', 'meet', 'indian', 'superstar', 'shah', 'rukh', 'khan', 'getting', 'boy', 'eye', 'operation']",Comedies,India,Movie,TV-PG
92,Dhanak,"['blind', 'little', 'brother', 'trek', 'meet', 'indian', 'superstar', 'shah', 'rukh', 'khan', 'getting', 'boy', 'eye', 'operation']",Dramas,India,Movie,TV-PG
94,Gurgaon,"['daughter', 'wealthy', 'family', 'return', 'college', 'frosty', 'welcome', 'brother', 'problem', 'plan']",Dramas,India,Movie,TV-14
96,Gurgaon,"['daughter', 'wealthy', 'family', 'return', 'college', 'frosty', 'welcome', 'brother', 'problem', 'plan']",Thrillers,India,Movie,TV-14
97,In the Cut,"['embarking', 'affair', 'cop', 'probing', 'murder', 'young', 'woman', 'insular', 'schoolteacher', 'suspect', 'lover', 'involved', 'crime']",Thrillers,"United Kingdom, Australia, France, United States",Movie,R
98,Shikara,"['couple', 'strive', 'remain', 'resilient', 'regional', 'hostility', 'drive', 'beloved', 'home', 'refugee', 'camp']",Dramas,India,Movie,TV-14
100,Shikara,"['couple', 'strive', 'remain', 'resilient', 'regional', 'hostility', 'drive', 'beloved', 'home', 'refugee', 'camp']",Romantics,India,Movie,TV-14
101,A Cinderella Story,"['teen', 'sam', 'meet', 'boy', 'dream', 'dance', 'returning', 'toil', 'stepmother', 'diner', 'lost', 'cell', 'phone', 'bring', 'together']",Family,"United States, Canada",Movie,PG
102,A Cinderella Story,"['teen', 'sam', 'meet', 'boy', 'dream', 'dance', 'returning', 'toil', 'stepmother', 'diner', 'lost', 'cell', 'phone', 'bring', 'together']",Comedies,"United States, Canada",Movie,PG
103,An Unfinished Life,"['grieving', 'widow', 'daughter', 'move', 'estranged', 'wyoming', 'time', 'allows', 'heal', 'forgive']",Dramas,"Germany, United States",Movie,PG-13
104,Blade Runner: The Final Cut,"['dystopian', 'los', 'angeles', 'blade', 'runner', 'rick', 'deckard', 'called', 'retirement', 'snuff', 'quartet', 'escaped', 'replicants']",Action,United States,Movie,R
105,Blade Runner: The Final Cut,"['dystopian', 'los', 'angeles', 'blade', 'runner', 'rick', 'deckard', 'called', 'retirement', 'snuff', 'quartet', 'escaped', 'replicants']",Classic,United States,Movie,R
106,Blade Runner: The Final Cut,"['dystopian', 'los', 'angeles', 'blade', 'runner', 'rick', 'deckard', 'called', 'retirement', 'snuff', 'quartet', 'escaped', 'replicants']",Classic,United States,Movie,R
107,Chappie,"['futuristic', 'society', 'indestructible', 'robot', 'police', 'force', 'keep', 'crime', 'bay', 'lone', 'droid', 'evolves', 'next', 'level', 'artificial', 'intelligence']",Action,"South Africa, United States",Movie,R
108,Chappie,"['futuristic', 'society', 'indestructible', 'robot', 'police', 'force', 'keep', 'crime', 'bay', 'lone', 'droid', 'evolves', 'next', 'level', 'artificial', 'intelligence']",Fantasy,"South Africa, United States",Movie,R
109,Clear and Present Danger,"['president', 'friend', 'murdered', 'cia', 'deputy', 'director', 'jack', 'ryan', 'becomes', 'unwittingly', 'involved', 'illegal', 'war', 'colombian', 'drug', 'cartel']",Action,"United States, Mexico",Movie,PG-13
110,Clear and Present Danger,"['president', 'friend', 'murdered', 'cia', 'deputy', 'director', 'jack', 'ryan', 'becomes', 'unwittingly', 'involved', 'illegal', 'war', 'colombian', 'drug', 'cartel']",Dramas,"United States, Mexico",Movie,PG-13
111,Cliffhanger,"['ranger', 'gabe', 'walker', 'partner', 'called', 'rescue', 'group', 'stranded', 'climber', 'learn', 'climber', 'actually', 'thieving', 'hijacker']",Action,"United States, Italy, France, Japan",Movie,R
112,Cold Mountain,"['drama', 'follows', 'wounded', 'civil', 'war', 'soldier', 'making', 'long', 'journey', 'home', 'faraway', 'love', 'fight', 'survival', 'deceased', 'father', 'farm']",Dramas,"United States, Italy, Romania, United Kingdom",Movie,R
113,Cold Mountain,"['drama', 'follows', 'wounded', 'civil', 'war', 'soldier', 'making', 'long', 'journey', 'home', 'faraway', 'love', 'fight', 'survival', 'deceased', 'father', 'farm']",Romantics,"United States, Italy, Romania, United Kingdom",Movie,R
114,Crocodile Dundee in Los Angeles,"['mick', 'crocodile', 'dundee', 'family', 'land', 'los', 'angeles', 'soon', 'learn', 'lesson', 'american', 'life', 'comedy', 'sequel']",Action,"Australia, United States",Movie,PG
115,Crocodile Dundee in Los Angeles,"['mick', 'crocodile', 'dundee', 'family', 'land', 'los', 'angeles', 'soon', 'learn', 'lesson', 'american', 'life', 'comedy', 'sequel']",Comedies,"Australia, United States",Movie,PG
116,Dear John,"['summer', 'leave', 'soldier', 'fall', 'college', 'student', 'forced', 'reenlist', 'handwritten', 'letter', 'hold', 'lover', 'together']",Dramas,United States,Movie,PG-13
117,Dear John,"['summer', 'leave', 'soldier', 'fall', 'college', 'student', 'forced', 'reenlist', 'handwritten', 'letter', 'hold', 'lover', 'together']",Romantics,United States,Movie,PG-13
118,Do the Right Thing,"['sweltering', 'day', 'brooklyn', 'simmering', 'racial', 'tension', 'resident', 'rise', 'surface', 'ignite', 'rage', 'violence', 'tragedy']",Classic,United States,Movie,R
119,Do the Right Thing,"['sweltering', 'day', 'brooklyn', 'simmering', 'racial', 'tension', 'resident', 'rise', 'surface', 'ignite', 'rage', 'violence', 'tragedy']",Comedies,United States,Movie,R
120,Do the Right Thing,"['sweltering', 'day', 'brooklyn', 'simmering', 'racial', 'tension', 'resident', 'rise', 'surface', 'ignite', 'rage', 'violence', 'tragedy']",Dramas,United States,Movie,R
121,"El patrón, radiografía de un crimen","['lawyer', 'defends', 'illiterate', 'man', 'whose', 'exploitation', 'cruel', 'bos', 'working', 'butcher', 'buenos', 'aire', 'led', 'tragedy', 'based', 'true', 'case']",Dramas,"Argentina, Venezuela",Movie,TV-MA
123,"El patrón, radiografía de un crimen","['lawyer', 'defends', 'illiterate', 'man', 'whose', 'exploitation', 'cruel', 'bos', 'working', 'butcher', 'buenos', 'aire', 'led', 'tragedy', 'based', 'true', 'case']",Thrillers,"Argentina, Venezuela",Movie,TV-MA
124,Extraction,"['retired', 'cia', 'agent', 'kidnapped', 'son', 'government', 'analyst', 'embarks', 'unauthorized', 'mission', 'halt', 'terrorist', 'plot']",Action,"United States, United Kingdom, Canada",Movie,R
125,Freedom Writers,"['student', 'reading', 'classic', 'diary', 'anne', 'frank', 'teacher', 'asks', 'keep', 'journal', 'troubled', 'life']",Dramas,"Germany, United States",Movie,PG-13
126,Green Lantern,"['test', 'pilot', 'hal', 'jordan', 'harness', 'glowing', 'new', 'power', 'good', 'wear', 'otherworldly', 'ring', 'intergalactic', 'force', 'stop', 'powerful', 'threat']",Action,United States,Movie,PG-13
127,Green Lantern,"['test', 'pilot', 'hal', 'jordan', 'harness', 'glowing', 'new', 'power', 'good', 'wear', 'otherworldly', 'ring', 'intergalactic', 'force', 'stop', 'powerful', 'threat']",Fantasy,United States,Movie,PG-13
128,House Party,"['grounded', 'strict', 'father', 'kid', 'risk', 'life', 'limb', 'go', 'best', 'friend', 'play', 'big', 'bash', 'experience', 'obstacle', 'another']",Comedies,United States,Movie,R
129,House Party,"['grounded', 'strict', 'father', 'kid', 'risk', 'life', 'limb', 'go', 'best', 'friend', 'play', 'big', 'bash', 'experience', 'obstacle', 'another']",Classic,United States,Movie,R
130,House Party 2,"['kid', 'go', 'college', 'scholarship', 'money', 'play', 'loses', 'kid', 'tuition', 'fund', 'shady', 'music', 'promoter', 'devise', 'wild', 'plan', 'raise', 'cash']",Comedies,United States,Movie,R
131,House Party 2,"['kid', 'go', 'college', 'scholarship', 'money', 'play', 'loses', 'kid', 'tuition', 'fund', 'shady', 'music', 'promoter', 'devise', 'wild', 'plan', 'raise', 'cash']",Classic,United States,Movie,R
132,House Party 2,"['kid', 'go', 'college', 'scholarship', 'money', 'play', 'loses', 'kid', 'tuition', 'fund', 'shady', 'music', 'promoter', 'devise', 'wild', 'plan', 'raise', 'cash']",Musical,United States,Movie,R
133,House Party 3,"['kid', 'engaged', 'play', 'plan', 'throw', 'biggest', 'bachelor', 'party', 'ever', 'every', 'celebration', 'always', 'come', 'complication']",Comedies,United States,Movie,R
134,House Party 3,"['kid', 'engaged', 'play', 'plan', 'throw', 'biggest', 'bachelor', 'party', 'ever', 'every', 'celebration', 'always', 'come', 'complication']",Musical,United States,Movie,R
135,I Got the Hook Up,"['getting', 'hand', 'misdirected', 'shipment', 'cell', 'phone', 'hustler', 'try', 'cash', 'hawking', 'merchandise', 'back', 'van']",Action,United States,Movie,R
136,I Got the Hook Up,"['getting', 'hand', 'misdirected', 'shipment', 'cell', 'phone', 'hustler', 'try', 'cash', 'hawking', 'merchandise', 'back', 'van']",Comedies,United States,Movie,R
137,In Too Deep,"['rookie', 'cop', 'jeffrey', 'cole', 'pose', 'drug', 'dealer', 'crime', 'lord', 'soon', 'caught', 'underworld', 'bribery', 'intimidation', 'murder']",Thrillers,United States,Movie,R
138,Initial D,"['day', 'delivers', 'tofu', 'father', 'retired', 'race', 'car', 'driver', 'night', 'teen', 'turn', 'wheel']",Action,"China, Hong Kong",Movie,TV-14
140,Janoskians: Untold and Untrue,"['follow', 'story', 'australian', 'brother', 'friend', 'became', 'international', 'sensation', 'posting', 'prank', 'gag', 'youtube']",Comedies,United States,Movie,TV-MA
141,Labyrinth,"['jim', 'henson', 'fantasy', 'teen', 'sarah', 'embarks', 'quest', 'rescue', 'little', 'brother', 'clutch', 'treacherous', 'goblin']",Action,"United Kingdom, United States",Movie,PG
142,Labyrinth,"['jim', 'henson', 'fantasy', 'teen', 'sarah', 'embarks', 'quest', 'rescue', 'little', 'brother', 'clutch', 'treacherous', 'goblin']",Family,"United Kingdom, United States",Movie,PG
143,Labyrinth,"['jim', 'henson', 'fantasy', 'teen', 'sarah', 'embarks', 'quest', 'rescue', 'little', 'brother', 'clutch', 'treacherous', 'goblin']",Classic,"United Kingdom, United States",Movie,PG
144,Letters to Juliet,"['responding', 'letter', 'addressed', 'shakespeare', 'tragic', 'heroine', 'juliet', 'capulet', 'american', 'woman', 'verona', 'italy', 'led', 'search', 'romance']",Comedies,United States,Movie,PG
145,Letters to Juliet,"['responding', 'letter', 'addressed', 'shakespeare', 'tragic', 'heroine', 'juliet', 'capulet', 'american', 'woman', 'verona', 'italy', 'led', 'search', 'romance']",Dramas,United States,Movie,PG
146,Letters to Juliet,"['responding', 'letter', 'addressed', 'shakespeare', 'tragic', 'heroine', 'juliet', 'capulet', 'american', 'woman', 'verona', 'italy', 'led', 'search', 'romance']",Romantics,United States,Movie,PG
147,Level 16,"['bleak', 'academy', 'teach', 'girl', 'virtue', 'passivity', 'student', 'uncover', 'ghastly', 'purpose', 'behind', 'training', 'resolve', 'escape']",Fantasy,Canada,Movie,TV-14
148,Level 16,"['bleak', 'academy', 'teach', 'girl', 'virtue', 'passivity', 'student', 'uncover', 'ghastly', 'purpose', 'behind', 'training', 'resolve', 'escape']",Thrillers,Canada,Movie,TV-14
149,Love Don't Cost a Thing,"['nerdy', 'teen', 'try', 'make', 'cool', 'association', 'convinces', 'popular', 'cheerleader', 'pose', 'girlfriend']",Comedies,United States,Movie,PG-13
150,Love Don't Cost a Thing,"['nerdy', 'teen', 'try', 'make', 'cool', 'association', 'convinces', 'popular', 'cheerleader', 'pose', 'girlfriend']",Romantics,United States,Movie,PG-13
151,Love in a Puff,"['hong', 'kong', 'government', 'enacts', 'ban', 'smoking', 'cigarette', 'indoors', 'new', 'law', 'drive', 'smoker', 'outside', 'facilitating', 'unlikely', 'connection']",Comedies,Hong Kong,Movie,TV-MA
152,Love in a Puff,"['hong', 'kong', 'government', 'enacts', 'ban', 'smoking', 'cigarette', 'indoors', 'new', 'law', 'drive', 'smoker', 'outside', 'facilitating', 'unlikely', 'connection']",Dramas,Hong Kong,Movie,TV-MA
154,Mars Attacks!,"['flying', 'saucer', 'head', 'earth', 'president', 'united', 'state', 'prepares', 'welcome', 'alien', 'visitor', 'soon', 'learns', 'coming', 'peace']",Comedies,United States,Movie,PG-13
155,Mars Attacks!,"['flying', 'saucer', 'head', 'earth', 'president', 'united', 'state', 'prepares', 'welcome', 'alien', 'visitor', 'soon', 'learns', 'coming', 'peace']",Classic,United States,Movie,PG-13
